"OBJECTID","PIN","PARCELNB","TOWNSHIP","SECTION_","BLOCK","PARCEL","SHAPE_STAr","SHAPE_STLe","Acres"
106366,"172101001017","0172101001017","1721","010","01","017",102615.48486300000,1432.65455731000,95
106367,"172101001016","0172101001016","1721","010","01","016",87276.82275390000,1373.06432955000,81
106368,"172101004023","0172101004023","1721","010","04","023",92171.56152340000,1252.75106195000,86
106370,"172101004022","0172101004022","1721","010","04","022",124278.46826200000,2622.33434368000,115
106371,"172101004021","0172101004021","1721","010","04","021",116409.07324200000,1357.65513710000,108
106372,"172101301004","0172101301004","1721","013","01","004",98677.96240230000,1318.18873894000,92
106373,"172101003011","0172101003011","1721","010","03","011",95826.19189450000,1320.50721091000,89
106374,"172101004024","0172101004024","1721","010","04","024",108400.18310500000,1371.07626045000,101
106375,"172101003007","0172101003007","1721","010","03","007",107295.15576200000,1454.78227669000,100
106376,"172101003006","0172101003006","1721","010","03","006",106522.49267600000,1446.36909741000,99
106377,"172101004025","0172101004025","1721","010","04","025",103283.02197300000,1384.12743434000,96
106378,"172101004027","0172101004027","1721","010","04","027",112584.25439500000,1591.97977978000,105
106379,"172101004033","0172101004033","1721","010","04","033",90987.07373050000,1274.09234699000,85
106380,"172101004038","0172101004038","1721","010","04","038",89625.62695310000,1249.38990112000,83
106381,"172101004034","0172101004034","1721","010","04","034",88935.35449220000,1252.42864754000,83
106382,"172101004039","0172101004039","1721","010","04","039",102989.74218800000,1414.40624552000,96
106383,"172101004040","0172101004040","1721","010","04","040",93551.31542970000,1355.53818402000,87
106384,"172101004028","0172101004028","1721","010","04","028",104919.44628900000,1455.16070716000,97
106385,"172101004032","0172101004032","1721","010","04","032",107630.47558600000,1517.60482235000,100
106386,"172101004035","0172101004035","1721","010","04","035",115964.30029300000,1588.28851742000,108
106387,"172101004037","0172101004037","1721","010","04","037",106929.68115200000,1325.61966074000,99
106388,"172101000015","0172101000015","1721","010","00","015",97534.92724610000,2154.57300106000,91
106389,"172101004031","0172101004031","1721","010","04","031",113371.78320300000,1604.98679045000,105
106390,"172101004036","0172101004036","1721","010","04","036",104038.69580100000,1660.55228597000,97
106391,"172101000025","0172101000025","1721","010","00","025",263118.01611300000,2221.89446917000,244
106392,"172101000016","0172101000016","1721","010","00","016",342396.16748000000,2578.86422636000,318
106393,"172101004030","0172101004030","1721","010","04","030",259052.41943400000,3738.09213367000,241
